分段ID,x,y,分段长/m,分段宽/m,当前工艺阶段,当前在场时间,出场时间,预处理周期,预舾装周期,涂装周期,总组周期,时间余量
A001,0,108,17,8,1,2024/4/25,2024/5/1,6,9,7,9,-3
A002,0,21,11,9,1,2024/4/25,2024/4/27,2,5,7,6,4
A003,0,33,12,10,1,2024/4/25,2024/4/28,3,4,6,6,3
A004,0,91,16,10,1,2024/4/25,2024/4/30,5,3,5,5,4
A005,0,46,13,9,1,2024/4/25,2024/4/27,2,4,4,7,5
A006,0,165,20,8,1,2024/4/25,2024/4/29,4,6,6,5,3
A007,0,33,12,10,1,2024/4/25,2024/4/28,3,5,7,7,4
A008,0,91,16,9,1,2024/4/25,2024/4/28,3,5,6,8,3
A009,0,33,12,8,1,2024/4/25,2024/4/27,2,6,7,8,4
A010,0,21,11,11,1,2024/4/25,2024/4/29,4,7,6,7,3
A011,0,60,14,7,1,2024/4/25,2024/4/29,4,7,7,6,2
A012,0,75,15,9,1,2024/4/25,2024/4/30,5,8,6,5,-2
A013,0,91,16,11,1,2024/4/25,2024/4/28,3,4,6,6,2
A014,0,46,13,9,1,2024/4/25,2024/4/27,2,6,7,5,3
A015,0,60,14,8,1,2024/4/25,2024/4/29,4,7,6,4,1
A016,0,21,11,10,1,2024/4/25,2024/4/30,5,8,5,7,-1
A017,0,145,19,7,1,2024/4/25,2024/5/1,6,5,8,6,2
A018,0,91,16,8,1,2024/4/25,2024/4/30,5,6,7,5,1
A019,0,60,14,9,1,2024/4/25,2024/5/1,6,8,6,6,3
A020,0,145,19,8,1,2024/4/25,2024/4/29,4,6,5,5,3
A021,0,60,14,9,1,2024/4/25,2024/4/28,3,5,5,4,2
A022,0,126,18,9,1,2024/4/25,2024/4/27,2,4,6,7,3
A023,0,126,18,9,1,2024/4/25,2024/4/29,4,7,7,5,-2
A024,0,60,14,10,1,2024/4/25,2024/4/27,2,6,5,7,2
A025,0,75,15,7,1,2024/4/25,2024/4/26,1,9,3,6,4
A026,0,75,15,7,1,2024/4/25,2024/4/29,4,5,4,4,3
A027,0,126,18,11,1,2024/4/25,2024/4/30,5,4,5,5,4
A028,0,21,11,7,1,2024/4/25,2024/4/28,3,7,6,5,3
A029,0,108,17,9,1,2024/4/25,2024/4/27,2,7,5,6,1
A030,0,46,13,7,1,2024/4/25,2024/4/27,2,6,4,4,4
A031,0,33,12,7,1,2024/4/25,2024/4/28,3,9,5,3,2
A032,0,60,14,10,1,2024/4/25,2024/4/29,4,5,6,6,-1
