分段ID,x,y,分段长/m,分段宽/m,当前工艺阶段,当前在场时间,出场时间,预舾装周期,涂装周期,总组周期,时间余量
B001,0,145,19,8,2,2024/4/25,2024/5/2,7,9,7,2
B002,0,145,19,9,2,2024/4/25,2024/4/30,5,6,6,-2
B003,0,126,18,7,2,2024/4/25,2024/5/2,7,6,4,3
B004,0,75,15,9,2,2024/4/25,2024/5/2,7,7,7,2
B005,0,46,13,10,2,2024/4/25,2024/4/30,5,5,4,3
B006,0,91,16,10,2,2024/4/25,2024/4/29,4,5,7,1
B007,0,91,16,9,2,2024/4/25,2024/5/1,6,5,4,-2
B008,0,145,19,11,2,2024/4/25,2024/5/1,6,6,6,2
B009,0,91,16,11,2,2024/4/25,2024/4/27,3,4,4,3
B010,0,21,11,12,2,2024/4/25,2024/4/29,4,6,7,1
B011,0,91,16,9,2,2024/4/25,2024/5/2,7,6,7,3
B012,0,21,11,10,2,2024/4/25,2024/4/30,5,4,7,2
B013,0,75,15,9,2,2024/4/25,2024/5/2,7,5,6,4
B014,0,21,11,8,2,2024/4/25,2024/5/1,6,5,4,3
B015,0,145,19,10,2,2024/4/25,2024/5/2,7,6,5,1
B016,0,60,14,8,2,2024/4/25,2024/5/1,6,5,4,-1
B017,0,10,10,9,2,2024/4/25,2024/5/1,7,6,8,2
B018,0,10,10,12,2,2024/4/25,2024/4/30,5,7,6,3
B019,0,145,19,11,2,2024/4/25,2024/5/1,5,5,6,-2
B020,0,145,19,8,2,2024/4/25,2024/5/2,7,6,5,3
B021,0,108,17,8,2,2024/4/25,2024/4/29,4,6,7,4
B022,0,126,18,11,2,2024/4/25,2024/4/30,5,4,3,2
B023,0,91,16,11,2,2024/4/25,2024/5/1,6,5,4,-2
B024,0,33,12,12,2,2024/4/25,2024/5/1,6,5,4,3
B025,0,33,12,11,2,2024/4/25,2024/5/1,6,7,5,2
B026,0,21,11,11,2,2024/4/25,2024/4/29,4,4,7,1
B027,0,60,14,11,2,2024/4/25,2024/4/29,4,5,6,3
B028,0,165,20,8,2,2024/4/25,2024/5/2,7,6,5,4
B029,0,21,11,10,2,2024/4/25,2024/5/1,6,4,5,2
B030,0,75,15,10,2,2024/4/25,2024/5/3,8,7,4,-1
B031,0,126,18,12,2,2024/4/25,2024/5/1,6,6,5,2
B032,0,46,13,7,2,2024/4/25,2024/5/2,7,6,5,3
B033,0,46,13,8,2,2024/4/25,2024/4/29,4,5,6,2
B034,0,60,14,11,2,2024/4/25,2024/5/1,6,5,6,3
B035,0,21,11,9,2,2024/4/25,2024/5/1,6,8,6,4
B036,0,60,14,12,2,2024/4/25,2024/4/30,5,7,5,2
B037,0,108,17,10,2,2024/4/25,2024/5/2,7,5,5,3
B038,0,165,20,8,2,2024/4/25,2024/5/2,7,8,4,-2
B039,0,91,16,8,2,2024/4/25,2024/5/3,8,6,3,-1
B040,0,46,13,9,2,2024/4/25,2024/5/1,6,5,4,2
B041,0,60,14,10,2,2024/4/25,2024/5/2,7,6,5,3
B042,0,21,11,10,2,2024/4/25,2024/5/1,6,5,6,-1
B043,0,126,18,8,2,2024/4/25,2024/4/29,4,7,6,2
B044,0,108,17,10,2,2024/4/25,2024/5/2,7,8,5,1
B045,0,145,19,8,2,2024/4/25,2024/4/29,4,5,5,1
B046,0,91,16,12,2,2024/4/25,2024/5/2,7,5,6,-2
B047,0,126,18,11,2,2024/4/25,2024/5/1,6,5,4,2
B048,0,75,15,8,2,2024/4/25,2024/5/1,6,6,5,1
B049,0,33,12,8,2,2024/4/25,2024/5/2,7,6,5,3
B050,0,91,16,7,2,2024/4/25,2024/4/30,5,3,6,3
B051,0,165,20,7,2,2024/4/25,2024/5/2,7,6,7,-2
B052,0,145,19,11,2,2024/4/25,2024/5/3,8,5,4,1
B053,0,10,10,10,2,2024/4/25,2024/5/1,6,6,5,2
B054,0,165,20,8,2,2024/4/25,2024/4/30,5,4,7,-1
B055,0,145,19,7,2,2024/4/25,2024/5/2,7,4,5,-1
B056,0,165,20,9,2,2024/4/25,2024/5/1,6,5,4,2
B057,0,46,13,9,2,2024/4/25,2024/4/30,5,6,8,1
B058,0,91,16,11,2,2024/4/25,2024/4/29,4,6,7,2
B059,0,21,11,9,2,2024/4/25,2024/5/1,6,7,7,3
B060,0,10,10,11,2,2024/4/25,2024/4/28,3,5,6,-2
B061,0,46,13,11,2,2024/4/25,2024/4/29,4,6,6,1
B062,0,145,19,9,2,2024/4/25,2024/4/28,3,4,7,1
B063,0,108,17,11,2,2024/4/25,2024/4/30,5,6,4,1
B064,0,126,18,10,2,2024/4/25,2024/5/1,6,5,6,2
B065,0,75,15,12,2,2024/4/25,2024/5/2,7,5,3,3
B066,0,60,14,11,2,2024/4/25,2024/5/2,7,7,5,3
B067,0,60,14,7,2,2024/4/25,2024/5/1,6,7,7,3
B068,0,108,17,11,2,2024/4/25,2024/4/29,4,6,5,-1
B069,0,91,16,7,2,2024/4/25,2024/4/30,5,7,3,-1
B070,0,108,17,12,2,2024/4/25,2024/4/30,5,4,5,-1
T001,0,46,13,8,2,2024/4/25,2024/4/27,,,,
T009,0,126,18,8,2,2024/4/25,2024/5/6,,,,
T018,0,91,16,9,2,2024/4/25,2024/5/10,,,,
T030,0,145,19,10,2,2024/4/25,2024/4/30,,,,
T036,0,126,18,8,2,2024/4/25,2024/5/4,,,,
T045,0,46,13,11,2,2024/4/25,2024/5/2,,,,
T058,0,145,19,9,2,2024/4/25,2024/5/10,,,,
T071,0,126,18,11,2,2024/4/25,2024/5/4,,,,
T080,0,126,18,11,2,2024/4/25,2024/5/10,,,,
T089,0,145,19,12,2,2024/4/25,2024/5/16,,,,
T100,0,165,20,11,2,2024/4/25,2024/5/13,,,,
,,,,,,,,,,,
