分段ID,x,y,分段长/m,分段宽/m,当前工艺阶段,当前在场时间,出场时间,总组周期,时间余量
D001,0,126,18,11,4,2024/4/25,2024/4/29,4,1
D002,0,126,18,8,4,2024/4/25,2024/4/30,5,2
D003,0,91,16,11,4,2024/4/25,2024/5/2,7,1
D004,0,21,11,10,4,2024/4/25,2024/5/1,6,2
D005,0,60,14,12,4,2024/4/25,2024/4/30,5,1
D006,0,108,17,8,4,2024/4/25,2024/4/29,4,2
D007,0,108,17,9,4,2024/4/25,2024/4/30,5,3
D008,0,108,17,7,4,2024/4/25,2024/4/30,5,-1
D009,0,108,17,8,4,2024/4/25,2024/5/1,6,2
D010,0,75,15,11,4,2024/4/25,2024/4/29,4,1
D011,0,21,11,11,4,2024/4/25,2024/4/30,5,1
D012,0,60,14,12,4,2024/4/25,2024/5/1,6,2
D013,0,60,14,11,4,2024/4/25,2024/5/1,6,2
D014,0,60,14,12,4,2024/4/25,2024/4/29,4,1
D015,0,21,11,11,4,2024/4/25,2024/4/29,4,1
D016,0,33,12,11,4,2024/4/25,2024/4/28,3,-1
D017,0,126,18,10,4,2024/4/25,2024/4/30,5,2
D018,0,10,10,10,4,2024/4/25,2024/5/1,6,1
D019,0,33,12,9,4,2024/4/25,2024/4/30,5,1
D020,0,46,13,7,4,2024/4/25,2024/5/2,7,2
D021,0,33,12,9,4,2024/4/25,2024/4/30,5,2
D022,0,108,17,11,4,2024/4/25,2024/4/29,4,3
D023,0,33,12,11,4,2024/4/25,2024/4/30,5,2
D024,0,21,11,9,4,2024/4/25,2024/4/29,4,1
D025,0,145,19,11,4,2024/4/25,2024/4/28,3,1
D026,0,21,11,11,4,2024/4/25,2024/4/29,4,1
D027,0,60,14,12,4,2024/4/25,2024/4/30,5,2
D028,0,165,20,8,4,2024/4/25,2024/4/30,5,2
D029,0,145,19,11,4,2024/4/25,2024/4/29,4,3
D030,0,75,15,11,4,2024/4/25,2024/4/28,3,2
D031,0,126,18,10,4,2024/4/25,2024/5/1,6,-1
D032,0,108,17,10,4,2024/4/25,2024/4/30,5,2
D033,0,46,13,9,4,2024/4/25,2024/4/29,4,3
D034,0,126,18,8,4,2024/4/25,2024/4/30,5,2
D035,0,46,13,9,4,2024/4/25,2024/4/29,4,2
D036,0,33,12,10,4,2024/4/25,2024/4/30,5,3
D037,0,145,19,7,4,2024/4/25,2024/4/30,5,1
D038,0,75,15,7,4,2024/4/25,2024/4/29,4,2
D039,0,75,15,11,4,2024/4/25,2024/4/29,4,2
D040,0,75,15,10,4,2024/4/25,2024/4/28,3,1
D041,0,91,16,10,4,2024/4/25,2024/4/30,5,2
D042,0,108,17,8,4,2024/4/25,2024/5/1,6,3
D043,0,75,15,10,4,2024/4/25,2024/4/30,5,2
D044,0,108,17,9,4,2024/4/25,2024/4/29,4,1
D045,0,10,10,8,4,2024/4/25,2024/4/29,4,1
D046,0,46,13,12,4,2024/4/25,2024/4/30,5,-1
D047,0,46,14,8,4,2024/4/25,2024/4/29,4,2
D048,0,126,18,8,4,2024/4/25,2024/4/28,3,1
D049,0,165,20,10,4,2024/4/25,2024/4/30,5,2
D050,0,33,12,8,4,2024/4/25,2024/4/28,3,1
D051,0,145,19,11,4,2024/4/25,2024/4/29,4,1
D052,0,60,14,11,4,2024/4/25,2024/4/28,3,-2
D053,0,108,17,8,4,2024/4/25,2024/4/30,5,1
D054,0,91,16,9,4,2024/4/25,2024/4/29,4,3
D055,0,75,15,9,4,2024/4/25,2024/4/28,3,2
D056,0,33,12,12,4,2024/4/25,2024/4/29,4,-1
D057,0,145,19,10,4,2024/4/25,2024/4/30,5,2
D058,0,33,12,10,4,2024/4/25,2024/4/30,5,2
D059,0,91,16,10,4,2024/4/25,2024/5/1,6,1
D060,0,108,17,9,4,2024/4/25,2024/4/29,4,2
D061,0,60,14,10,4,2024/4/25,2024/4/30,5,-1
D062,0,91,16,10,4,2024/4/25,2024/5/1,6,2
D063,0,145,19,10,4,2024/4/25,2024/4/30,5,1
D064,0,145,19,12,4,2024/4/25,2024/4/29,4,1
D065,0,108,17,7,4,2024/4/25,2024/4/28,3,3
D066,0,21,11,12,4,2024/4/25,2024/4/29,4,2
D067,0,91,16,12,4,2024/4/25,2024/4/28,3,-1
D068,0,33,12,12,4,2024/4/25,2024/5/1,6,2
D069,0,75,15,11,4,2024/4/25,2024/4/30,5,2
D070,0,75,15,8,4,2024/4/25,2024/4/29,4,1
T011,0,75,15,11,4,2024/4/25,2024/5/6,,
T015,0,75,15,7,4,2024/4/25,2024/5/7,,
T024,0,165,20,10,4,2024/4/25,2024/5/8,,
T033,0,60,14,7,4,2024/4/25,2024/5/2,,
T040,0,33,12,11,4,2024/4/25,2024/5/8,,
T043,0,75,15,8,4,2024/4/25,2024/5/3,,
T050,0,91,16,10,4,2024/4/25,2024/5/5,,
T059,0,46,13,11,4,2024/4/25,2024/5/12,,
T069,0,145,19,8,4,2024/4/25,2024/5/8,,
T084,0,91,16,11,4,2024/4/25,2024/5/14,,
T094,0,126,18,9,4,2024/4/25,2024/5/16,,
T108,0,165,20,8,4,2024/4/25,2024/5/13,,
T123,0,60,14,11,4,2024/4/25,2024/5/3,,
T127,0,145,19,10,4,2024/4/25,2024/4/30,,
T138,0,60,14,9,4,2024/4/25,2024/5/17,,
T155,0,126,18,8,4,2024/4/25,2024/5/21,,
